refernce_id	article id	section_id	section_title	is_this_sub_section
1	pcl633	lv_0004	Origins of small area analysis	1
2	pcl633	lv_0005	Tonsillectomies in England and Wales from 1908 to 1938	0
3	pcl633	lv_0006	John Wennberg and Medical Care in Vermont, Circa 1970	0
4	pcl633	lv_0007	Pioneer studies in unwarranted variation in pediatric medical care	1
5	pcl633	lv_0008	Methodological considerations	1
6	pcl633	lv_0009	Interpreting variation in pediatric medical care	1
7	pcl633	lv_0010	Variation in Effective Care	0
8	pcl633	lv_0011	Variation in Preference-based Care	0
9	pcl633	lv_0012	Variation in Supply-sensitive Care	0
10	pcl633	lv_0013	Variation in Health Care Capacity	0
11	pcl633	lv_0014	Future directions	1
12	pcl633	lv_0015	Acknowledgments	1
13	pcl633	lv_0016	References	1
14	pcl634	lv_0004	Evolution of physician payment models	1
15	pcl634	lv_0005	Controversies about pay for performance	1
16	pcl634	lv_0006	The stakeholders in pay for performance	1
17	pcl634	lv_0007	Physicians	0
18	pcl634	lv_0008	Patients	0
19	pcl634	lv_0009	Purchasers	0
20	pcl634	lv_0010	Payers	0
21	pcl634	lv_0011	Measurement for pay for performance	1
22	pcl634	lv_0012	Use of Guidelines for Pay for Performance	0
23	pcl634	lv_0013	Types of incentives for pay for performance	1
24	pcl634	lv_0014	Financial Incentives	0
25	pcl634	lv_0015	Nonfinancial Incentives	0
26	pcl634	lv_0016	Unintended consequences of pay for performance	1
27	pcl634	lv_0017	Examples of current pay for performance programs	1
28	pcl634	lv_0018	Centers for Medicare and Medicaid Services	0
29	pcl634	lv_0019	National Committee on Quality Assurance	0
30	pcl634	lv_0020	Integrated Health Care Association	0
31	pcl634	lv_0021	Approach to future pay for performance models	1
32	pcl634	lv_0022	International pay for performance efforts	1
33	pcl634	lv_0023	Summary	1
34	pcl634	lv_0024	References	1
35	pcl635	lv_0004	The role of hospitalists in creating, implementing, and sustaining clinical pathways	1
36	pcl635	lv_0005	Creation of Pathways	0
37	pcl635	lv_0006	Implementation of Pathways	0
38	pcl635	lv_0007	Maintenance of Pathways	0
39	pcl635	lv_0008	Future Directions	0
40	pcl635	lv_0009	Pathways and standard order sets as teaching tools: the role of house staff	1
41	pcl635	lv_0010	Future Directions	0
42	pcl635	lv_0011	Summary	1
43	pcl635	lv_0012	References	1
44	pcl636	lv_0004	Registered nurses and patient outcomes	1
45	pcl636	lv_0005	Nursing preparation and patient outcomes	1
46	pcl636	lv_0006	Nursing skill mix and patient outcomes	1
47	pcl636	lv_0007	Two key studies	1
48	pcl636	lv_0008	Magnet hospital designation and patient outcomes	1
49	pcl636	lv_0009	Interdisciplinary teams	1
50	pcl636	lv_0010	Critical Communication Between Providers	0
51	pcl636	lv_0011	Pediatric-specific efforts	1
52	pcl636	lv_0012	Nursing initiatives	1
53	pcl636	lv_0013	National Quality Forum	0
54	pcl636	lv_0014	National Quality Forum–endorsed National Voluntary Consensus Standards for Nursing-sensitive Care	0
55	pcl636	lv_0016	National Database for Nursing Quality Indicators	0
56	pcl636	lv_0017	Translating Care at the Bedside	0
57	pcl636	lv_0018	Planning for the pediatric health care workforce	1
58	pcl636	lv_0019	Summary	1
59	pcl636	lv_0020	Acknowledgments	1
60	pcl636	lv_0021	References	1
61	pcl638	lv_0004	Strategic approach to quality and safety	1
62	pcl638	lv_0005	Leadership	1
63	pcl638	lv_0006	Building will	1
64	pcl638	lv_0007	Transparency	1
65	pcl638	lv_0008	Business case for quality	1
66	pcl638	lv_0009	Engaging patients and families	1
67	pcl638	lv_0010	Infrastructure	1
68	pcl638	lv_0011	Improvement capability	1
69	pcl638	lv_0012	Reliability and standardization	1
70	pcl638	lv_0013	Reliability examples from cincinnati children's hospital medical center	1
71	pcl638	lv_0014	Application of Evidence for Common Conditions	0
72	pcl638	lv_0015	Reducing Ventilator-associated Pneumonias	0
73	pcl638	lv_0016	Transforming care at the national level	1
74	pcl638	lv_0017	Creating urgency: the need to go public	1
75	pcl638	lv_0018	Supportive public policy environment	1
76	pcl638	lv_0019	Summary	1
77	pcl638	lv_0020	References	1
78	pcl639	lv_0004	What is quality improvement?	1
79	pcl639	lv_0006	What is the science of quality improvement?	1
80	pcl639	lv_0007	What is quality improvement research?	1
81	pcl639	lv_0008	Integrating quality improvement and research	1
82	pcl639	lv_0010	What resources and infrastructure are needed to combine quality improvement and research?	1
83	pcl639	lv_0012	Acknowledgments	1
84	pcl639	lv_0013	References	1
85	pcl640	lv_0004	The current measurement landscape and pediatrics	1
86	pcl640	lv_0006	Case study: development of the agency for healthcare research and quality pediatric quality indicators	1
87	pcl640	lv_0007	Application of the agency for healthcare research and quality pediatric quality indicators	1
88	pcl640	lv_0008	Challenges in indicator selection and use	1
89	pcl640	lv_0009	Summary	1
90	pcl640	lv_0010	Acknowledgements	1
91	pcl640	lv_0011	References	1
92	pcl641	lv_0004	References	1
93	pcl642	lv_0004	Quality in the ambulatory environment: what is known?	1
94	pcl642	lv_0006	Patient safety in the ambulatory environment: what is known?	1
95	pcl642	lv_0007	Residency competencies relevant to quality improvement and safety	1
96	pcl642	lv_0008	Graduate medical education requirements in pediatrics	1
97	pcl642	lv_0009	Academic pediatric association educational guidelines	1
98	pcl642	lv_0010	Value of the ambulatory setting for learning about quality and safety	1
99	pcl642	lv_0011	Experience with resident training in quality improvement	1
100	pcl642	lv_0012	Experience with resident training in patient safety	1
101	pcl642	lv_0013	Experience with quality improvement training in pediatric ambulatory settings	1
102	pcl642	lv_0014	Challenges to teaching QI and patient safety in ambulatory pediatrics	1
103	pcl642	lv_0015	Future directions	1
104	pcl642	lv_0016	References	1
105	pcl643	lv_0004	Why this topic and why now?	1
106	pcl643	lv_0005	Background and history	1
107	pcl643	lv_0006	The fundamentals of quality improvement projects	1
108	pcl643	lv_0007	Purposes of measurement and feedback	1
109	pcl643	lv_0008	Optimal attributes of quality improvement measures	1
110	pcl643	lv_0009	Tailoring to the Target Audience	0
111	pcl643	lv_0010	Including Comprehensive Measures	0
112	pcl643	lv_0011	Carefully Defining Measures	0
113	pcl643	lv_0012	Minimizing Measurement Burden	0
114	pcl643	lv_0013	Putting it All Together: A Balancing Act	0
115	pcl643	lv_0014	The measurement development process	1
116	pcl643	lv_0015	Establishing Operational Definitions	0
117	pcl643	lv_0016	Collecting Data	0
118	pcl643	lv_0017	Pilot Testing	0
